Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Panama,8.538,-80.7821,12/07/2020,45633,909,23039,21685,Americas
,Papua New Guinea,-6.314993,143.95555,12/07/2020,11,0,8,3,Western Pacific
,Paraguay,-23.4425,-58.4438,12/07/2020,2948,22,1275,1651,Americas
,Peru,-9.19,-75.0152,12/07/2020,326326,11870,217111,97345,Americas
,Philippines,12.879721,121.774017,12/07/2020,56259,1534,16046,38679,Western Pacific
,Poland,51.9194,19.1451,12/07/2020,37891,1571,27148,9172,Europe
,Portugal,39.3999,-8.2245,12/07/2020,46512,1660,30907,13945,Europe
,Qatar,25.3548,51.1839,12/07/2020,103598,147,99743,3708,Eastern Mediterranean
,Romania,45.9432,24.9668,12/07/2020,32535,1884,21545,9106,Europe
,Russia,61.52401,105.318756,12/07/2020,726036,11318,500208,214510,Europe
,Rwanda,-1.9403,29.8739,12/07/2020,1337,4,684,649,Africa
,Saint Lucia,13.9094,-60.9789,12/07/2020,22,0,19,3,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,12/07/2020,35,0,29,6,Americas
,San Marino,43.9424,12.4578,12/07/2020,699,42,656,1,Europe
,Saudi Arabia,23.885942,45.079162,12/07/2020,232259,2223,167138,62898,Eastern Mediterranean
,Senegal,14.4974,-14.4524,12/07/2020,8135,148,5446,2541,Africa
,Serbia,44.0165,21.0059,12/07/2020,18360,393,13876,4091,Europe
,Seychelles,-4.6796,55.492,12/07/2020,100,0,11,89,Africa
,Singapore,1.2833,103.8333,12/07/2020,45961,26,42285,3650,Western Pacific
,Slovakia,48.669,19.699,12/07/2020,1901,28,1493,380,Europe
,Slovenia,46.1512,14.9955,12/07/2020,1841,111,1469,261,Europe
,Somalia,5.152149,46.199616,12/07/2020,3059,93,1264,1702,Eastern Mediterranean
,South Africa,-30.5595,22.9375,12/07/2020,276242,4079,134874,137289,Africa
,Spain,40.463667,-3.74922,12/07/2020,253908,28403,150376,75129,Europe
,Sri Lanka,7.873054,80.771797,12/07/2020,2617,11,1981,625,South-East Asia
,Sudan,12.8628,30.2176,12/07/2020,10250,650,5341,4259,Eastern Mediterranean
,Suriname,3.9193,-56.0278,12/07/2020,741,18,495,228,Americas
,Sweden,60.128161,18.643501,12/07/2020,74898,5526,0,69372,Europe
,Switzerland,46.8182,8.2275,12/07/2020,32883,1968,29600,1315,Europe
,Taiwan*,23.7,121,12/07/2020,451,7,438,6,Western Pacific
,Tanzania,-6.369028,34.888822,12/07/2020,509,21,183,305,Africa
,Thailand,15.870032,100.992541,12/07/2020,3217,58,3088,71,South-East Asia
,Togo,8.6195,0.8248,12/07/2020,720,15,513,192,Africa
,Trinidad and Tobago,10.6918,-61.2225,12/07/2020,133,8,120,5,Americas
,Tunisia,33.886917,9.537499,12/07/2020,1263,50,1076,137,Eastern Mediterranean
,Turkey,38.9637,35.2433,12/07/2020,212993,5363,194515,13115,Europe
,Uganda,1.373333,32.290275,12/07/2020,1025,0,972,53,Africa
,Ukraine,48.3794,31.1656,12/07/2020,54647,1400,26971,26276,Europe
,United Arab Emirates,23.424076,53.847818,12/07/2020,54854,333,45140,9381,Eastern Mediterranean
Bermuda,United Kingdom,32.3078,-64.7505,12/07/2020,150,9,137,4,Europe
Cayman Islands,United Kingdom,19.3133,-81.2546,12/07/2020,201,1,197,3,Europe
Channel Islands,United Kingdom,49.3723,-2.3644,12/07/2020,577,47,512,18,Europe
Gibraltar,United Kingdom,36.1408,-5.3536,12/07/2020,180,0,176,4,Europe
Isle of Man,United Kingdom,54.2361,-4.5481,12/07/2020,336,24,312,0,Europe
Montserrat,United Kingdom,16.742498,-62.187366,12/07/2020,12,1,10,1,Europe
,United Kingdom,55.3781,-3.436,12/07/2020,289603,44819,0,244784,Europe
,Uruguay,-32.5228,-55.7658,12/07/2020,987,31,896,60,Americas
,US,40,-100,12/07/2020,3304942,135205,1006326,2163411,Americas
,Uzbekistan,41.377491,64.585262,12/07/2020,12997,60,7852,5085,Europe
,Venezuela,6.4238,-66.5897,12/07/2020,9465,89,2671,6705,Americas
,Vietnam,14.058324,108.277199,12/07/2020,372,0,350,22,Western Pacific
,Zambia,-13.133897,27.849332,12/07/2020,1895,42,1412,441,Africa
,Zimbabwe,-19.015438,29.154857,12/07/2020,985,18,328,639,Africa
,Dominica,15.415,-61.371,12/07/2020,18,0,18,0,Americas
,Grenada,12.1165,-61.679,12/07/2020,23,0,23,0,Americas
,Mozambique,-18.665695,35.529562,12/07/2020,1157,9,0,1148,Africa
,Syria,34.802075,38.996815,12/07/2020,394,16,0,378,Eastern Mediterranean
,Timor-Leste,-8.874217,125.727539,12/07/2020,24,0,0,24,South-East Asia
,Belize,17.1899,-88.4976,12/07/2020,37,2,20,15,Americas
,Laos,19.85627,102.495496,12/07/2020,19,0,19,0,Western Pacific
,Libya,26.3351,17.228331,12/07/2020,1433,39,341,1053,Eastern Mediterranean
,West Bank and Gaza,31.9522,35.2332,12/07/2020,6230,36,942,5252,Eastern Mediterranean
,Guinea-Bissau,11.8037,-15.1804,12/07/2020,1842,26,773,1043,Africa
,Mali,17.570692,-3.996166,12/07/2020,2411,121,1694,596,Africa
,Saint Kitts and Nevis,17.357822,-62.782998,12/07/2020,17,0,15,2,Americas
Northwest Territories,Canada,64.8255,-124.8457,12/07/2020,5,0,0,5,Americas
Yukon,Canada,64.2823,-135,12/07/2020,11,0,0,11,Americas
,Kosovo,42.602636,20.902977,12/07/2020,4931,102,2267,2562,Europe
,Burma,21.9162,95.956,12/07/2020,331,6,261,64,South-East Asia
Anguilla,United Kingdom,18.2206,-63.0686,12/07/2020,3,0,3,0,Europe
British Virgin Islands,United Kingdom,18.4207,-64.64,12/07/2020,8,1,7,0,Europe
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,12/07/2020,71,2,11,58,Europe
,Botswana,-22.3285,24.6849,12/07/2020,399,1,38,360,Africa
,Burundi,-3.3731,29.9189,12/07/2020,191,1,118,72,Africa
,Sierra Leone,8.460555,-11.779889,12/07/2020,1635,63,1154,418,Africa
,Malawi,-13.2543,34.3015,12/07/2020,2364,38,557,1769,Africa
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,12/07/2020,13,0,13,0,Europe
Saint Pierre and Miquelon,France,46.8852,-56.3159,12/07/2020,2,0,1,1,Europe
,South Sudan,6.877,31.307,12/07/2020,2021,38,333,1650,Africa
,Western Sahara,24.2155,-12.8858,12/07/2020,10,1,8,1,Africa
,Sao Tome and Principe,0.1864,6.6131,12/07/2020,729,14,286,429,Africa
,Yemen,15.552727,48.516388,12/07/2020,1465,417,659,389,Eastern Mediterranean
,Comoros,-11.6455,43.3333,12/07/2020,317,7,296,14,Africa
,Tajikistan,38.861,71.2761,12/07/2020,6552,55,5228,1269,Europe
,Lesotho,-29.61,28.2336,12/07/2020,233,2,32,199,Africa
,Afghanistan,33.93911,67.709953,13/07/2020,34455,1012,21254,12189,Eastern Mediterranean
,Albania,41.1533,20.1683,13/07/2020,3571,95,2014,1462,Europe
,Algeria,28.0339,1.6596,13/07/2020,19689,1018,14019,4652,Africa
,Andorra,42.5063,1.5218,13/07/2020,858,52,803,3,Europe
,Angola,-11.2027,17.8739,13/07/2020,525,26,118,381,Africa
,Antigua and Barbuda,17.0608,-61.7964,13/07/2020,74,3,57,14,Americas
,Argentina,-38.4161,-63.6167,13/07/2020,103265,1903,44173,57189,Americas
,Armenia,40.0691,45.0382,13/07/2020,32151,573,19865,11713,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,13/07/2020,113,3,105,5,Western Pacific
New South Wales,Australia,-33.8688,151.2093,13/07/2020,3505,49,2988,468,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,13/07/2020,31,0,29,2,Western Pacific
Queensland,Australia,-27.4698,153.0251,13/07/2020,1071,6,1058,7,Western Pacific
South Australia,Australia,-34.9285,138.6007,13/07/2020,443,4,439,0,Western Pacific
Tasmania,Australia,-42.8821,147.3272,13/07/2020,228,13,215,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,13/07/2020,4224,24,2395,1805,Western Pacific
Western Australia,Australia,-31.9505,115.8605,13/07/2020,636,9,606,21,Western Pacific
,Austria,47.5162,14.5501,13/07/2020,18948,708,17000,1240,Europe
,Azerbaijan,40.1431,47.5769,13/07/2020,24570,313,15640,8617,Europe
,Bahamas,25.025885,-78.035889,13/07/2020,113,11,91,11,Americas
