Country/Region,Date,Confirmed,Deaths,Recovered,Active,Death Percentage
Trinidad and Tobago,21/07/2020,139,8,124,7,5.755395683453238
Tunisia,21/07/2020,1389,50,1103,236,3.599712023038157
Turkey,21/07/2020,221500,5526,204011,11963,2.4948081264108355
Uganda,21/07/2020,1072,0,958,114,0.0
Ukraine,21/07/2020,61454,1537,33186,26731,2.501057701695577
United Arab Emirates,21/07/2020,57498,341,49964,7193,0.5930641065776201
United Kingdom,21/07/2020,153,9,137,7,5.88235294117647
United Kingdom,21/07/2020,203,1,201,1,0.49261083743842365
United Kingdom,21/07/2020,583,47,529,7,8.061749571183533
United Kingdom,21/07/2020,180,0,180,0,0.0
United Kingdom,21/07/2020,336,24,312,0,7.142857142857142
United Kingdom,21/07/2020,12,1,10,1,8.333333333333332
Uruguay,21/07/2020,1096,33,929,134,3.010948905109489
US,21/07/2020,3899211,142121,1182018,2575072,3.6448655894743833
Uzbekistan,21/07/2020,17881,95,9521,8265,0.5312901962977462
Venezuela,21/07/2020,12774,120,6983,5671,0.9394081728511038
Vietnam,21/07/2020,401,0,365,36,0.0
Zambia,21/07/2020,3386,128,1620,1638,3.780271707028943
Zimbabwe,21/07/2020,1820,26,488,1306,1.4285714285714286
Dominica,21/07/2020,18,0,18,0,0.0
Grenada,21/07/2020,23,0,23,0,0.0
Belize,21/07/2020,42,2,22,18,4.761904761904762
Laos,21/07/2020,19,0,19,0,0.0
Libya,21/07/2020,2088,50,479,1559,2.3946360153256707
West Bank and Gaza,21/07/2020,9228,64,1932,7232,0.693541395752059
Guinea-Bissau,21/07/2020,1954,26,803,1125,1.3306038894575232
Mali,21/07/2020,2477,122,1856,499,4.925312878482035
Saint Kitts and Nevis,21/07/2020,17,0,15,2,0.0
Kosovo,21/07/2020,5877,139,3069,2669,2.36515228858261
Burma,21/07/2020,341,6,280,55,1.7595307917888565
United Kingdom,21/07/2020,3,0,3,0,0.0
United Kingdom,21/07/2020,8,1,7,0,12.5
United Kingdom,21/07/2020,81,2,22,57,2.4691358024691357
Botswana,21/07/2020,522,1,48,473,0.19157088122605362
Burundi,21/07/2020,328,1,207,120,0.3048780487804878
Sierra Leone,21/07/2020,1727,66,1273,388,3.821656050955414
Malawi,21/07/2020,3045,64,1180,1801,2.1018062397372743
United Kingdom,21/07/2020,13,0,13,0,0.0
France,21/07/2020,4,0,1,3,0.0
South Sudan,21/07/2020,2211,45,1175,991,2.03527815468114
Western Sahara,21/07/2020,10,1,8,1,10.0
Sao Tome and Principe,21/07/2020,746,14,588,144,1.876675603217158
Yemen,21/07/2020,1629,456,741,432,27.992633517495396
Comoros,21/07/2020,337,7,319,11,2.0771513353115725
Tajikistan,21/07/2020,6967,57,5683,1227,0.8181426725993972
Lesotho,21/07/2020,359,6,69,284,1.6713091922005572
Afghanistan,22/07/2020,35727,1190,23924,10613,3.3308142301340724
Albania,22/07/2020,4358,120,2463,1775,2.7535566773749425
Algeria,22/07/2020,24872,1111,16983,6778,4.466870376326793
Andorra,22/07/2020,889,52,803,34,5.849268841394826
Angola,22/07/2020,812,33,221,558,4.064039408866995
Antigua and Barbuda,22/07/2020,76,3,58,15,3.9473684210526314
Argentina,22/07/2020,141900,2588,60531,78781,1.8238195912614517
Armenia,22/07/2020,35693,678,24766,10249,1.899532121144202
Australia,22/07/2020,113,3,109,1,2.6548672566371683
Australia,22/07/2020,3633,49,2988,596,1.348747591522158
Australia,22/07/2020,31,0,30,1,0.0
Australia,22/07/2020,1074,6,1063,5,0.5586592178770949
Australia,22/07/2020,446,4,441,1,0.8968609865470852
Australia,22/07/2020,229,13,215,1,5.676855895196507
Australia,22/07/2020,7125,49,3298,3778,0.6877192982456141
Australia,22/07/2020,651,9,626,16,1.3824884792626728
Austria,22/07/2020,19929,711,17849,1369,3.567665211500828
Azerbaijan,22/07/2020,28633,385,20443,7805,1.3446023818670765
Bahamas,22/07/2020,219,11,91,117,5.0228310502283104
Bahrain,22/07/2020,37637,130,33894,3613,0.34540478784175144
Bangladesh,22/07/2020,213254,2751,117202,93301,1.2900109728305214
Barbados,22/07/2020,106,7,94,5,6.60377358490566
Belarus,22/07/2020,66521,513,59061,6947,0.7711850393108943
Belgium,22/07/2020,64627,9808,17347,37472,15.176319494947933
Benin,22/07/2020,1690,34,782,874,2.0118343195266273
Bhutan,22/07/2020,92,0,83,9,0.0
Bolivia,22/07/2020,64135,2328,19721,42086,3.629843299290559
Bosnia and Herzegovina,22/07/2020,9115,268,4159,4688,2.9402084476138235
Brazil,22/07/2020,2227514,82771,1591975,552768,3.715846454837096
Brunei,22/07/2020,141,3,138,0,2.127659574468085
Bulgaria,22/07/2020,9584,321,4643,4620,3.3493322203672786
Burkina Faso,22/07/2020,1066,53,917,96,4.971857410881801
Cabo Verde,22/07/2020,2154,21,1132,1001,0.9749303621169917
Cambodia,22/07/2020,198,0,142,56,0.0
Cameroon,22/07/2020,16522,382,13728,2412,2.312068756809103
Central African Republic,22/07/2020,4574,57,1437,3080,1.2461740271097508
Chad,22/07/2020,889,75,805,9,8.43644544431946
Chile,22/07/2020,336402,8722,309241,18439,2.59273131550942
China,22/07/2020,991,6,985,0,0.6054490413723511
China,22/07/2020,929,9,841,79,0.9687836383207751
China,22/07/2020,583,6,576,1,1.0291595197255576
China,22/07/2020,364,1,361,2,0.27472527472527475
China,22/07/2020,167,2,165,0,1.1976047904191618
China,22/07/2020,1662,8,1637,17,0.48134777376654636
China,22/07/2020,255,2,253,0,0.7843137254901961
China,22/07/2020,147,2,145,0,1.3605442176870748
China,22/07/2020,171,6,165,0,3.508771929824561
China,22/07/2020,947,13,934,0,1.3727560718057021
China,22/07/2020,2131,14,1344,773,0.656968559361802
